frequency,n_samples,accuracy,accuracy_percent
1.0,11,0.2727272727272727,27.27272727272727
1.5,14,0.42857142857142855,42.857142857142854
2.0,16,0.375,37.5
2.5,13,0.46153846153846156,46.15384615384615
3.0,16,0.5625,56.25
3.5,16,0.25,25.0
4.0,16,0.5625,56.25
4.5,16,0.25,25.0
5.0,16,0.625,62.5
5.5,17,0.5294117647058824,52.94117647058824
6.0,16,0.4375,43.75
6.5,16,0.375,37.5
7.0,18,0.5,50.0
7.5,18,0.5,50.0
8.0,18,0.5,50.0
8.5,20,0.3,30.0
9.0,20,0.25,25.0
9.5,22,0.2727272727272727,27.27272727272727
10.0,21,0.47619047619047616,47.61904761904761
10.5,20,0.55,55.00000000000001
11.0,26,0.6538461538461539,65.38461538461539
11.5,26,0.6923076923076923,69.23076923076923
12.0,28,0.42857142857142855,42.857142857142854
12.5,28,0.5,50.0
13.0,30,0.5333333333333333,53.333333333333336
13.5,31,0.4838709677419355,48.38709677419355
14.0,32,0.59375,59.375
14.5,32,0.65625,65.625
15.0,34,0.6176470588235294,61.76470588235294
15.5,36,0.5833333333333334,58.333333333333336
16.0,37,0.6756756756756757,67.56756756756756
16.5,34,0.47058823529411764,47.05882352941176
17.0,37,0.4594594594594595,45.94594594594595
17.5,39,0.38461538461538464,38.46153846153847
18.0,38,0.39473684210526316,39.473684210526315
18.5,39,0.41025641025641024,41.02564102564102
19.0,42,0.40476190476190477,40.476190476190474
19.5,42,0.38095238095238093,38.095238095238095
20.0,44,0.5,50.0
20.5,43,0.4883720930232558,48.837209302325576
21.0,46,0.5652173913043478,56.52173913043478
21.5,47,0.48936170212765956,48.93617021276596
22.0,48,0.3541666666666667,35.41666666666667
22.5,48,0.4166666666666667,41.66666666666667
23.0,52,0.5576923076923077,55.769230769230774
23.5,53,0.4528301886792453,45.28301886792453
24.0,54,0.5,50.0
24.5,53,0.49056603773584906,49.056603773584904
25.0,57,0.49122807017543857,49.122807017543856
25.5,56,0.39285714285714285,39.285714285714285
26.0,58,0.3448275862068966,34.48275862068966
26.5,59,0.423728813559322,42.3728813559322
27.0,59,0.3728813559322034,37.28813559322034
27.5,63,0.4126984126984127,41.269841269841265
28.0,61,0.3770491803278688,37.704918032786885
28.5,61,0.32786885245901637,32.78688524590164
29.0,65,0.4,40.0
29.5,66,0.4393939393939394,43.93939393939394
30.0,65,0.46153846153846156,46.15384615384615
30.5,67,0.40298507462686567,40.298507462686565
31.0,68,0.5441176470588235,54.41176470588235
31.5,71,0.4084507042253521,40.845070422535215
32.0,70,0.3142857142857143,31.428571428571427
32.5,71,0.36619718309859156,36.61971830985916
33.0,73,0.4246575342465753,42.465753424657535
33.5,76,0.3684210526315789,36.84210526315789
34.0,74,0.44594594594594594,44.5945945945946
34.5,72,0.4305555555555556,43.05555555555556
35.0,78,0.41025641025641024,41.02564102564102
35.5,80,0.425,42.5
36.0,80,0.3875,38.75
36.5,78,0.34615384615384615,34.61538461538461
37.0,81,0.37037037037037035,37.03703703703704
37.5,83,0.40963855421686746,40.963855421686745
38.0,84,0.39285714285714285,39.285714285714285
38.5,84,0.3333333333333333,33.33333333333333
39.0,85,0.4470588235294118,44.70588235294118
39.5,89,0.43820224719101125,43.82022471910113
40.0,88,0.38636363636363635,38.63636363636363
