network,pattern,n_samples,accuracy,accuracy_percent
6,0,460,0.9869565217391304,98.69565217391305
6,1,463,1.0,100.0
6,2,467,0.8501070663811563,85.01070663811564
6,3,453,1.0,100.0
6,4,465,0.9978494623655914,99.78494623655914
6,5,464,0.9978448275862069,99.78448275862068
6,6,459,0.9956427015250545,99.56427015250546
6,7,452,0.995575221238938,99.5575221238938
6,8,462,0.9956709956709957,99.56709956709958
6,9,455,1.0,100.0
6,10,449,0.9866369710467706,98.66369710467706
6,11,464,0.9956896551724138,99.56896551724138
6,12,451,0.9889135254988913,98.89135254988913
6,13,467,0.9914346895074947,99.14346895074947
6,14,457,0.9912472647702407,99.12472647702407
6,15,453,0.9933774834437086,99.33774834437085
