variant,experiment_group,group,weighted_model_bce,weighted_delta_bce_vs_baseline,weighted_improvement_vs_pattern
hist_H24_D64_layers2,history,frequency,0.03397180347418039,-0.00047121873537263727,0.06521401637239371
hist_H40_D64,history,frequency,0.03402935407792374,-0.0004136681316292861,0.06368876216174657
hist_H40_D96,history,frequency,0.034037745728729175,-0.0004052764808238493,0.06344594417011902
hist_H24_D96,history,frequency,0.03429299805284078,-0.00015002415671225072,0.05620061863502612
freq_rbf8,frequency,frequency,0.03441800934531201,-2.5012864241020132e-05,0.05263516756928149
freq_context_only,frequency,frequency,0.0344205656476678,-2.245656188522907e-05,0.052781340570354565
freq_film_rbf16,frequency,frequency,0.03443776599991766,-5.2562096353662554e-06,0.05195215882100667
C4_linear_H24_D64_freq_rbf16,baseline,frequency,0.034443022209553024,0.0,0.05175196114152744
freq_fourier_only,frequency,frequency,0.03447947575387726,3.645354432423478e-05,0.05118624003515001
freq_rbf32,frequency,frequency,0.03451537929274613,7.235708319310765e-05,0.05028454003161579
freq_direct_only_nofreq_context,frequency,frequency,0.034546107797978516,0.00010308558842549554,0.04963360689898603
hist_H40_D32,history,frequency,0.03458688325582091,0.00014386104626788079,0.048023647739857935
hist_H24_D64_bits,history,frequency,0.03469189751190867,0.0002488753023556343,0.04473574009377828
hist_H16_D96,history,frequency,0.03474524948791953,0.00030222727836649887,0.04439756306822822
hist_H16_D64,history,frequency,0.0347850954492485,0.00034207323969547563,0.04320655943267249
hist_H24_D32,history,frequency,0.03487028659422754,0.00042726438467450976,0.04124725163728024
hist_H16_D32,history,frequency,0.03492581610108996,0.00048279389153693317,0.03949238069337087
hist_H8_D32,history,frequency,0.03497856913508653,0.000535546925533505,0.038205361519459795
hist_H8_D96,history,frequency,0.03501163690312271,0.0005686146935696865,0.03729655808937738
hist_H8_D64,history,frequency,0.03501182135746431,0.0005687991479112742,0.03721944648037616
hist_H24_D64_layers2,history,pattern,0.03397179887359319,-0.00047122768579022594,0.051568817453848476
hist_H40_D64,history,pattern,0.03402934620338754,-0.00041368035599588325,0.04669516087934774
hist_H40_D96,history,pattern,0.034037746456645035,-0.0004052801027383797,0.048561251749299546
hist_H24_D96,history,pattern,0.034293004087309335,-0.000150022472074085,0.03750264851986256
freq_rbf8,frequency,pattern,0.03441800495335779,-2.502160602562662e-05,0.042051733839928475
freq_context_only,frequency,pattern,0.03442056600127769,-2.2460558105720132e-05,0.03929776432948837
freq_film_rbf16,frequency,pattern,0.03443776629028962,-5.260269093799532e-06,0.037923588115292894
C4_linear_H24_D64_freq_rbf16,baseline,pattern,0.034443026559383416,0.0,0.038119713587917665
freq_fourier_only,frequency,pattern,0.03447947406526713,3.644750588371112e-05,0.04378386506308884
freq_rbf32,frequency,pattern,0.03451537851591232,7.235195652890023e-05,0.035171012122327615
freq_direct_only_nofreq_context,frequency,pattern,0.03454610780832654,0.00010308124894312577,0.03860706346206048
hist_H40_D32,history,pattern,0.03458688145223269,0.00014385489284926906,0.03846114026928247
hist_H24_D64_bits,history,pattern,0.03469189790638806,0.00024887134700464335,0.03229370363038513
hist_H16_D96,history,pattern,0.034745253421842814,0.0003022268624593926,0.03578117956288405
hist_H16_D64,history,pattern,0.03478508674843791,0.00034206018905449937,0.035435176480430146
hist_H24_D32,history,pattern,0.034870281705672475,0.00042725514628905365,0.03847047879141644
hist_H16_D32,history,pattern,0.034925816816776346,0.00048279025739292775,0.037239412673020424
hist_H8_D32,history,pattern,0.0349785702369948,0.0005355436776113807,0.03663791256916246
hist_H8_D96,history,pattern,0.03501163409953863,0.0005686075401552108,0.034567210658600744
hist_H8_D64,history,pattern,0.035011823936004875,0.0005687973766214597,0.035666143152771175
