feature_family,max_delta_bce,mean_delta_bce,max_delta_bce_percent,worst_ablation
current_pattern,0.0208981335163116,0.01507502608001225,62.15776002481967,current_pattern_zero
z_history_gru,0.0072058402001857,0.003571404765049567,21.432482742573487,history_all_zero
residual_decoder,0.0041804909706115,0.0041804909706115,12.434122613599849,pattern_baseline_only
z_window_context,0.0022411867976188,0.0009909942746162016,6.666009240894838,context_shuffle_batch
electrode_features,0.0016017667949199,0.0011304281651973,4.764168818074039,electrode_embedding_zero
temporal_decoder,0.0009461045265197,0.0009461045265197,2.814018681233449,time_embedding_zero
electrode_graph,0.0004350952804088,0.0004350952804088,1.294113084619561,graph_identity_adjacency
previous_pattern_context,0.0004175603389739,0.0004175603389739,1.2419585378555362,prev_pattern_zero
frequency,0.0001101344823837,7.742270827291995e-05,0.3275753177250113,frequency_shuffle_batch
